,title,link_to_recipe,link_to_image,about_recipe,price_equipment
21,"Lengva Žaidimų Pelė SteelSeries Prime, TrueMove Pro jutiklis + Dovana pelės kilimėlis Natec UGO",https://www.varle.lt/peles/lengva-zaidimu-pele-steelseries-prime-truemove-pro--15982264.html,https://www.varle.lt/static/uploads/products/235x195/281/ste/steelseries-prime-pele-zaidimams-juodas.jpg,"

GamintojasSteelSeries
SerijaPrime
Rekomenduojama paskirtisŽaidimams
Belaidis pajungimasNėra
TipasOptinės
Išskirtinės savybėsSu pašvietimu

","

43.27
 €
"
22,"Žaidimų kėdė White Shark Monza-Y Gaming Chair, Geltona",https://www.varle.lt/zaidimu-gaming-kedes/zaidimu-kede-white-shark-monza-y-gaming-chair-geltona--15229447.html,https://www.varle.lt/static/uploads/products/235x195/307/whi/white-shark-baltas-shark-monza-y-zaidimu_iZtiqme.jpg,"

GamintojasWhite Shark
TipasŽaidimų kėdės
Maksimalus žaidėjo svoris (kg)120
MedžiagaPU oda
SerijaMonza
SpalvaBalta, Geltona

","

265.29
 €
"
23,"Žaidimų kėdė Sense7 Prism Gaming Chair, Juoda-pilka",https://www.varle.lt/zaidimu-gaming-kedes/zaidimu-kede-sense7-prism-gaming-chair-juoda-pilka--16456623.html,https://www.varle.lt/static/uploads/products/235x195/605/zai/zaidimu-kede-sense7-prism-gaming-chair_ol5Kr37.jpg,"

GamintojasSense7
TipasŽaidimų kėdės
Maksimalus žaidėjo svoris (kg)120
MedžiagaDirbtinė oda, EKO oda
SerijaPrism
SpalvaPilka, Juoda

","

89.99
 €
"
24,"Monitorius LG UltraGear™ 32GN600-B /31.5""/Gaming/Panel VA/2560x1440/16:9/165Hz/1 ms/AMD FreeSync™ Premium",https://www.varle.lt/monitoriai/monitorius-32-lg-32gn600-baeu-32gn600-baeu--15459201.html,https://www.varle.lt/static/uploads/products/235x195/4/lg-/lg-gaming-monitorius-32gn600-b-315-va.png,"

GamintojasLG
Ekrano įstrižainė32.0 ""
Maksimali rezoliucija2560 x 1440
Didžiausias dažnis (Hz)144 Hz
Reakcijos greitis (ms)1
VESA matmenys (mm)Yra

","

256.55
 €
"
25,Žaidimų kėdė Canyon Corax GC-5 Gaming Chair,https://www.varle.lt/zaidimu-gaming-kedes/zaidimu-kede-canyon-corax-gc-5-gaming-chair--10272906.html,https://www.varle.lt/static/uploads/products/235x195/7/can/canyon-gaming-chair-pu-leather-cold-molded.jpg,"

GamintojasCanyon
TipasŽaidimų kėdės
Maksimalus žaidėjo svoris (kg)150
YpatybėsSu kaklo pagalve, Su nugaros pagalve
MedžiagaPU oda
SpalvaOranžinė, Juoda

","

229.89
 €
"
26,"Žaidimų kėdė Sense7 Spellcaster Gaming Chair, Juoda-Raudona",https://www.varle.lt/zaidimu-gaming-kedes/zaidimu-kede-sense7-spellcaster-zaidimu-kede-juoda-raudona--15470280.html,https://www.varle.lt/static/uploads/products/235x195/605/zai/zaidimu-kede-sense7-spellcaster-gaming-chair_qUf2O1K.jpg,"

GamintojasSense7
TipasŽaidimų kėdės
Maksimalus žaidėjo svoris (kg)150
YpatybėsSu kaklo pagalve, Su nugaros pagalve
MedžiagaDirbtinė oda, EKO oda
SerijaSpellcaster

","

129.99
 €
"
27,"Planšetinis kompiuteris Apple iPad Air 10.9"" MYGY2HC/A Cellular",https://www.varle.lt/plansetiniai-kompiuteriai/plansete-plans-ipad-air-109-mygy2hca-cellular--19538818.html,https://www.varle.lt/static/uploads/products/235x195/605/pla/plansete-apple-plans-ipad-air-109-mygy2hc-a.png,"

GamintojasApple
Ekrano įstrižainė10.9
Operacinė sistemaiOS
Vidinė atmintis (GB)64

","

579 €
"
28,"Lengva Žaidimų Pelė SteelSeries Prime+, TrueMove Pro+ jutiklis + Dovana pelės kilimėlis Natec UGO",https://www.varle.lt/peles/lengva-zaidimu-pele-steelseries-prime-truemove-pro--15982263.html,https://www.varle.lt/static/uploads/products/235x195/402/ste/steelseries-prime-esports-performance.jpg,"

GamintojasSteelSeries
SerijaPrime
Rekomenduojama paskirtisŽaidimams
Belaidis pajungimasNėra
TipasOptinės
Išskirtinės savybėsSu pašvietimu

","

53.34
 €
"
29,"Žaidimų stalas Ultradesk Force Gaming Desk, LED RGB Prismatic, Juodas",https://www.varle.lt/kompiuteriniu-zaidimu-stalai/zaidimu-stalas-ultradesk-force-gaming-desk-led-rgb--16309627.html,https://www.varle.lt/static/uploads/products/235x195/622/zai/zaidimu-stalas-ultradesk-force-gaming-desk_sgM4Jk1.png,"

GamintojasUltradesk
SerijaForce
Ilgis (cm)166
Gylis (cm)70
Aukštis (cm)76.5
YpatybėsSu pašvietimu

","

349 €
"
30,Stacionarus kompiuteris ACTINA / ASUS PRIME B550M-A / AMD Radeon RX 6500 XT / ADATA XPG Spectrix D60 / WD Blue WDS500G2B0C / SilentiumPC Fera 5 ARGB (SPC305) / SilentiumPC Stella HP ARGB 120 / SilentiumPC Vero L3 / SilentiumPC Ventum VT4 TG,https://www.varle.lt/stacionarus-kompiuteriai/stacionarus-kompiuteris-actina-spc-pc-ddr4-sdram-i5-10400f--19050900.html,https://www.varle.lt/static/uploads/products/235x195/2/sta/stacionarus-kompiuteris-actina-pc-ddr4-sdram_t2PFtCj.jpg,"

GamintojasActina
Disko talpa (HDD)1000 GB
Disko talpa (SSD)500 GB
Procesoriaus tipasIntel Core i5
Vaizdo plokštės modelisRadeon RX 6500XT
TipasAll in One kompiuteriai (AiO)

","

869.99
 €
"
31,"Žaidimų kompiuteris Lenovo IdeaPad Gaming 3 15.6"" FullHD IPS 120Hz / AMD Ryzen 5 5600H iki 4.2Ghz / 512Gb SSD PCIe / 8Gb RAM DDR4 / GeForce RTX3050 4Gb / WiFi AX / USB C / šviečianti klaviatūra",https://www.varle.lt/nesiojami-kompiuteriai/nesiojami-kompiuteriai/lenovo-ideapad-gaming-3-15ach6-ryzen-5-5600h-156--18296342.html,https://www.varle.lt/static/uploads/products/235x195/2/len/lenovo-ideapad-gaming-3-15ach6-ryzen-5-5600h_pKYH1sT.jpeg,"

GamintojasLenovo
Ekrano įstrižainė15.6 ""
Atmintis (RAM)8
Vaizdo plokštėAMD/Radeon
Operacinė sistemaNėra
Procesoriaus karta4

","

799 €
"
32,"Nešiojamas kompiuteris Asus E510MA 15.6"" HD / Intel Pentium Silver N5030 iki 3.1Ghz / 4Gb RAM / 256Gb SSD / WiFi / HDMI / USB 3.2",https://www.varle.lt/nesiojami-kompiuteriai/nesiojami-kompiuteriai/nesiojamas-kompiuteris-asus-e510ma-br889-n50304256uhd605--20712256.html,https://www.varle.lt/static/uploads/products/235x195/605/nes/nesiojamas-kompiuteris-asus-e510ma-156.png,"

GamintojasAsus
Ekrano įstrižainė15.6 ""
Atmintis (RAM)4
Vaizdo plokštėIntel
Procesoriaus tipasIntel Pentium
Disko talpa256 GB

","

249 €
"
33,"Žaidimų stalas Ultradesk Cruiser Gaming Desk, Reguliuojamo aukščio 660-812mm, Juodas su juodos spalvos kilimėliu",https://www.varle.lt/kompiuteriniu-zaidimu-stalai/zaidimu-stalas-ultradesk-cruiser-gaming-desk-reguliuojamo--17056560.html,https://www.varle.lt/static/uploads/products/235x195/622/zai/zaidimu-stalas-ultradesk-cruiser-gaming.png,"

GamintojasUltradesk
SerijaCruiser
Ilgis (cm)160
Gylis (cm)70
Aukštis (cm)81.2, 66
YpatybėsReguliuojamo aukščio

","

199 €
"
34,Monitorius  HP V27i FHD Monitor/IPS/1x VGA/1x HDMI 1.4,https://www.varle.lt/monitoriai/monitorius-hp-v27i-fhd-686-cm-27quot-ips-skydelis--18616174.html,https://www.varle.lt/static/uploads/products/235x195/281/mon/monitorius-hp-v27i-fhd-686-cm-27-col.jpg,"

GamintojasHP
Ekrano įstrižainė27.0 ""
Maksimali rezoliucija1920 x 1080
Didžiausias dažnis (Hz)60 Hz
Reakcijos greitis (ms)5
VESA matmenys (mm)Nėra

","

169.89
 €
"
35,Monitorius  MSI Modern MD241PDE 23.8” (60cm) Business monitor /IPS panel/ 1920x1080 (FHD)/16:9,https://www.varle.lt/monitoriai/msi-modern-md241pde-biuro-monitorius-full-hd-reguliuojamas--16850249.html,https://www.varle.lt/static/uploads/products/235x195/281/mon/monitorius-msi-modern-md241pde-605-cm.jpg,"

GamintojasMSI
Ekrano įstrižainė27.0 ""
Maksimali rezoliucija1920 x 1080
Didžiausias dažnis (Hz)75 Hz
Reakcijos greitis (ms)5
VESA matmenys (mm)Nėra

","

209 €
"
36,"Žaidimų stalas Ultradesk Cruiser Gaming Desk, Reguliuojamo aukščio 660-812mm, Juodas su raudonos spalvos kilimėliu",https://www.varle.lt/kompiuteriniu-zaidimu-stalai/zaidimu-stalas-ultradesk-cruiser-gaming-desk-reguliuojamo--18795589.html,https://www.varle.lt/static/uploads/products/235x195/622/zai/zaidimu-stalas-ultradesk-cruiser-gaming_tCRZ8w2.png,"

GamintojasUltradesk
SerijaCruiser
Ilgis (cm)160
Gylis (cm)70
Aukštis (cm)81.2, 66
YpatybėsReguliuojamo aukščio

","

199 €
"
37,"Monitorius Asus Gaming LCD VG27BQ 27 ""/TN/WQHD/2560 x 1440/16:9/0.4 ms/350 cd/m²",https://www.varle.lt/monitoriai/monitorius-asus-686cm-gaming-vg27bq-dphdmi-g-fsync--11378510.html,https://www.varle.lt/static/uploads/products/235x195/4/mon/monitorius-asus-gaming-lcd-vg27bq-27.jpeg,"

GamintojasAsus
Ekrano įstrižainė27.0 ""
Maksimali rezoliucija2560 x 1440
Didžiausias dažnis (Hz)155 Hz
Reakcijos greitis (ms)0,4
VESA matmenys (mm)Yra

","

279 €
"
